
=== Page 0 ===
  Rect(28.6, 737.8, 566.7, 759.5) W=538.0 H=21.6 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 781.2, 566.7, 810.2) W=538.0 H=29.0 fill=(1.0, 1.0, 1.0) color=None
  Rect(180.5, 199.4, 229.3, 214.9) W=48.8 H=15.5 fill=(0.0, 0.0, 0.0) color=None
  Rect(319.2, 199.4, 372.6, 221.8) W=53.5 H=22.5 fill=(0.0, 0.0, 0.0) color=None
  Rect(462.5, 199.4, 505.9, 214.9) W=43.4 H=15.5 fill=(0.0, 0.0, 0.0) color=None
  Rect(95.3, 345.5, 143.3, 378.9) W=48.0 H=33.3 fill=(0.0, 0.0, 0.0) color=None
  Rect(223.9, 678.2, 313.8, 695.2) W=89.9 H=17.0 fill=(0.0, 0.0, 0.0) color=None

=== Page 4 ===
  Rect(28.6, 28.6, 566.7, 550.6) W=538.0 H=521.9 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 556.3, 566.7, 585.6) W=538.0 H=29.3 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 591.4, 566.7, 620.3) W=538.0 H=28.9 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 626.1, 566.7, 706.3) W=538.0 H=80.2 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 626.1, 566.7, 647.8) W=538.0 H=21.6 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 712.1, 566.7, 731.5) W=538.0 H=19.4 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 737.3, 566.7, 756.7) W=538.0 H=19.4 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 762.5, 566.7, 823.0) W=538.0 H=60.5 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 762.5, 566.7, 784.1) W=538.0 H=21.6 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None

=== Page 5 ===
  Rect(28.6, 28.6, 566.7, 48.0) W=538.0 H=19.4 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 53.8, 566.7, 114.3) W=538.0 H=60.4 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 53.8, 566.7, 75.5) W=538.0 H=21.6 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 120.0, 566.7, 139.4) W=538.0 H=19.4 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 145.2, 566.7, 164.6) W=538.0 H=19.4 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 170.4, 566.3, 211.4) W=537.6 H=41.0 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 170.4, 566.3, 192.1) W=537.6 H=21.6 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 217.1, 566.3, 336.3) W=537.7 H=119.2 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 217.1, 566.3, 237.1) W=537.7 H=20.0 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 341.8, 566.7, 410.1) W=538.0 H=68.4 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 414.4, 566.7, 436.1) W=538.0 H=21.6 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 414.4, 566.7, 436.1) W=538.0 H=21.6 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 440.4, 566.7, 510.7) W=538.0 H=70.3 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 440.4, 566.7, 462.0) W=538.0 H=21.6 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 515.0, 566.7, 705.2) W=538.0 H=190.3 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 515.0, 566.7, 536.6) W=538.0 H=21.6 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 624.7, 566.7, 646.4) W=538.0 H=21.6 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 709.5, 566.7, 728.9) W=538.0 H=19.4 fill=(1.0, 1.0, 1.0) color=None
  Rect(86.8, 277.4, 538.4, 340.9) W=451.7 H=63.5 fill=(0.0, 0.0, 0.0) color=None
  Rect(102.3, 708.1, 491.2, 729.8) W=388.9 H=21.7 fill=(0.0, 0.0, 0.0) color=None
